Date,Product ID,Product Name,Category,Quantity,Price,Cost Price,Profit,Customer,Damaged Quantity
2025-09-15,K046,Amul Masti Dahi (400g),Dairy,2,35,30,10,S3109,0
2025-09-16,K047,Catch Black Pepper (50g),Spices,1,55,45,10,S3110,0
2025-09-17,K048,Tide Detergent Bar,Cleaning,4,15,12,12,S3111,0
2025-09-18,K049,Real Mixed Fruit Juice (1L),Beverages,1,110,95,15,S3112,0
2025-09-19,K050,Moong Dal Chilka (1kg),Pulses,1,120,105,15,S3113,0
2025-09-20,K051,Pepsodent Toothpaste (150g),Personal Care,2,95,82,26,S3114,0
2025-09-21,K052,Ariel Matic (1kg),Cleaning,1,230,205,25,S3115,0
2025-09-22,K053,Maggi Tomato Ketchup (50g),Instant Food,1,105,90,15,S3116,0
2025-09-23,K054,Everest Deggi Mirch (100g),Spices,1,92,80,12,S3117,0
2025-09-24,K055,Maida (Loose 1kg),Grains & Flour,2,45,38,14,S3118,0
2025-09-25,K056,Wagh Bakri Tea (500g),Beverages,1,260,235,25,S3119,0
2025-09-26,K057,Dabur Chyawanprash (500g),Personal Care,1,215,190,25,S3120,0
2025-09-27,K058,Sunfeast Dark Fantasy,Snacks,1,50,42,8,S3121,0
2025-09-28,K059,Soyabean Chunks (200g),Instant Food,1,55,45,10,S3122,0
2025-09-29,K060,Ganesh Papad (Medium),Snacks,1,85,72,13,S3123,0
2025-09-30,K061,Aashirvaad Atta (10kg),Grains & Flour,1,520,460,60,S3124,0
2025-10-01,K062,Gowardhan Ghee (1L),Dairy,2,650,590,120,S3125,0
2025-10-02,K063,Sugar (5kg Pack),Salt & Sugar,2,225,200,50,S3126,0
2025-10-03,K064,Cashews (250g),Dry Fruits,3,240,210,90,S3127,0
2025-10-04,K065,Almonds (250g),Dry Fruits,2,280,245,70,S3128,0
2025-10-05,K066,Cadbury Celebrations (Large),Snacks,5,450,400,250,S3129,0
2025-10-06,K067,Hamdard Rooh Afza (750ml),Beverages,2,175,160,30,S3130,0
2025-10-07,K068,Amul Paneer (200g),Dairy,4,90,78,48,S3131,0
2025-10-08,K069,Mustard Oil (5L Can),Cooking Oil,2,750,680,140,S3132,0
2025-10-09,K070,Chana Besan (500g),Grains & Flour,3,70,58,36,S3133,0
2025-10-10,K071,Dettol Antiseptic (500ml),Personal Care,1,210,190,20,S3134,0
2025-10-11,K072,Comfort Conditioner,Cleaning,1,225,200,25,S3135,0
2025-10-12,K073,Toor Dal (1kg),Pulses,4,175,150,100,S3136,0
2025-10-13,K074,MTR Poha Mix (60g),Instant Food,6,25,21,24,S3137,0
2025-10-14,K075,Himalaya Face Wash,Personal Care,2,135,115,40,S3138,0
2025-10-15,K076,Hide & Seek Biscuits,Snacks,3,60,52,24,S3139,0
2025-10-16,K077,Bru Instant Coffee (100g),Beverages,2,310,285,50,S3140,0
2025-10-17,K078,Rajma Red (1kg),Pulses,2,160,140,40,S3141,0
2025-10-18,K079,Lifebuoy Sanitizer,Personal Care,10,25,18,70,S3142,0
2025-10-19,K080,Kellogg's Corn Flakes,Snacks,2,195,175,40,S3143,0
2025-10-20,K081,Lizol Floor Cleaner,Cleaning,2,105,90,30,S3144,0
2025-10-21,K082,Saffola Oats (500g),Snacks,2,115,98,34,S3145,0
2025-10-22,K083,Horlicks (500g),Beverages,1,265,240,25,S3146,0
2025-10-23,K084,Colgate Vedshakti,Personal Care,2,120,105,30,S3147,0
2025-10-24,K085,Vim Liquid Gel (750ml),Cleaning,2,175,155,40,S3148,0
2025-10-25,K086,Kabuli Chana (1kg),Pulses,3,135,115,60,S3149,0
2025-10-26,K087,Agmark Honey (500g),Beverages,1,195,170,25,S3150,0
2025-10-27,K088,Lipton Green Tea (25n),Beverages,1,165,145,20,S3151,0
2025-10-28,K089,Surf Excel Matic Liquid,Cleaning,1,220,195,25,S3152,0
2025-10-29,K090,Maggi 2-Min Noodles (Set),Instant Food,10,14,12,20,S3153,0
2025-10-30,K091,Pillsbury Chakki Atta (5kg),Grains & Flour,2,275,240,70,S3154,0
2025-11-01,K092,Amul Cheese Slices (10pk),Dairy,2,145,130,30,S3155,0
2025-11-02,K093,Haldiram Mixture (400g),Snacks,3,95,82,39,S3156,0
2025-11-03,K094,MTR Gulab Jamun Mix,Instant Food,5,110,90,100,S3157,0
2025-11-04,K095,Nescafe Classic (50g),Beverages,2,175,160,30,S3158,0
2025-11-05,K096,Saffola Gold Oil (1L),Cooking Oil,3,165,150,45,S3159,0
2025-11-06,K097,Nivea Body Milk (200ml),Personal Care,1,225,195,30,S3160,0
2025-11-07,K098,Basmati Rice (Supreme 1kg),Grains & Flour,5,125,105,100,S3161,0
2025-11-08,K099,Vim Bar (Small 3pk),Cleaning,5,30,24,30,S3162,0
2025-11-09,K100,Amul Fresh Cream (250ml),Dairy,4,65,58,28,S3163,0
2025-11-10,K101,Bikano Bhujia (1kg),Snacks,2,240,210,60,S3164,0
2025-11-11,K102,TATA Tea Gold (500g),Beverages,2,320,290,60,S3165,0
2025-11-12,K103,Harpic Power Plus (750ml),Cleaning,2,145,125,40,S3166,0
2025-11-13,K104,Pears Soap (Set of 3),Personal Care,2,185,165,40,S3167,0
2025-11-14,K105,Aashirvaad Salt (1kg),Salt & Sugar,5,25,21,20,S3168,0
2025-11-15,K106,MTR Sambar Powder,Spices,3,55,48,21,S3169,0
2025-11-16,K107,Parle-G (Small 10pk),Snacks,4,50,42,32,S3170,0
2025-11-17,K108,Dabur Red Toothpaste,Personal Care,2,110,95,30,S3171,0
2025-11-18,K109,Clinic Plus (650ml Bottle),Personal Care,1,350,310,40,S3172,0
2025-11-19,K110,Amul Taaza Milk (1L Tetra),Dairy,6,72,65,42,S3173,0
2025-11-20,K111,Hershey's Syrup (623g),Snacks,1,215,195,20,S3174,0
2025-11-21,K112,Loose Chana Dal (1kg),Pulses,4,85,72,52,S3175,0
2025-11-22,K113,Loose Masoor Dal (1kg),Pulses,3,95,82,39,S3176,0
2025-11-23,K114,Catch Turmeric (200g),Spices,2,65,55,20,S3177,0
2025-11-24,K115,Everest Coriander Powder,Spices,2,72,62,20,S3178,0
2025-11-25,K116,Britannia Jim Jam,Snacks,5,35,29,30,S3179,0
2025-11-26,K117,Amul Kool (Bottle),Beverages,10,25,20,50,S3180,0
2025-11-27,K118,Oreo Biscuits (Standard),Snacks,8,30,25,40,S3181,0
2025-11-28,K119,Santoor Soap (Set of 4),Personal Care,3,145,128,51,S3182,0
2025-11-29,K120,Colgate Plax Mouthwash,Personal Care,2,130,115,30,S3183,0
2025-11-30,K121,Pears Body Wash,Personal Care,1,210,185,25,S3184,0
